text	from	to	moment
mercredi, je voudrais aller de Saint-georges-de-luzençon à Quiberon	Saint-georges-de-luzençon	Quiberon	mercredi
Je cherche le train le plus rapide pour faire Saint-mathurin-sur-loire Epinal	Saint-mathurin-sur-loire	Epinal	
trajet Verrey-sous-salmaise Cahors	Verrey-sous-salmaise	Cahors	
La ligne Saint-andré-de-corcy Chabris	Saint-andré-de-corcy	Chabris	
Castres depuis Labarthe-inard	Labarthe-inard	Castres	
Je pars de Villefranche-de-lauragais pour aller à Saales	Villefranche-de-lauragais	Saales	
Je veux le trajet de Billy-montigny à Garges-les-gonesse	Billy-montigny	Garges-les-gonesse	
Je suis à Avion et je souhaite me rendre à Sisteron	Avion	Sisteron	
trajet Avrechy Saint-gaudens	Avrechy	Saint-gaudens	
Emmène moi de La Grande-paroisse à Bazeilles	La Grande-paroisse	Bazeilles	
Je cherche le train le plus rapide pour faire Bons-en-chablais Saint-agnan lundi	Bons-en-chablais	Saint-agnan	lundi
Emmène moi de Irigny à Aubevoye	Irigny	Aubevoye	
Emmène moi de Villers-sur-mer à Mundolsheim	Villers-sur-mer	Mundolsheim	
Je prends le train Nouan-le-fuzelier Saint-juéry	Nouan-le-fuzelier	Saint-juéry	
Je souhaiterai avoir des informations sur le train Villefranque Nimes	Villefranque	Nimes	
je veux partir de Nantouillet pour Bailleul-sur-thérain	Nantouillet	Bailleul-sur-thérain	
Je pars de Brebières pour aller à Salses-le-château	Brebières	Salses-le-château	
dans deux heures je partirais de Maroeuil pour aller à Barentin	Maroeuil	Barentin	dans deux heures
Je veux aller de Ciry-salsogne à Crêches-sur-saône	Ciry-salsogne	Crêches-sur-saône	
itinéraire de voyage de Malesherbes vers Sotteville-les-rouen	Malesherbes	Sotteville-les-rouen	
train Montry Vanves	Montry	Vanves	
Je veux le trajet de Poigny à Rai	Poigny	Rai	
Je suis à Gières et je souhaite me rendre à Coutras	Gières	Coutras	
je vais à Cluses depuis Saint-michel-sur-orge	Saint-michel-sur-orge	Cluses	
la semaine prochaine, je voudrais aller de Laifour à La Perche	Laifour	La Perche	la semaine prochaine
Quel trajet pour Diemeringen Gravelines	Diemeringen	Gravelines	
La ligne Ingrandes Martigné-ferchaud	Ingrandes	Martigné-ferchaud	
Le train Cransac Peyrilhac	Cransac	Peyrilhac	
Je suis à Lestrem et je souhaite me rendre à Nogent-le-rotrou	Lestrem	Nogent-le-rotrou	
La ligne Etaples Saint-martin-du-mont	Etaples	Saint-martin-du-mont	
Je cherche un train Chartres La Mothe-achard	Chartres	La Mothe-achard	
Je pars de Bornel pour aller à Locarn	Bornel	Locarn	
Je suis à Bollene et je veux aller à Saint-méloir-des-ondes	Bollene	Saint-méloir-des-ondes	
La ligne Sauto Darcey	Sauto	Darcey	
Comment aller à Trémentines depuis Feyzin	Feyzin	Trémentines	
Quel trajet pour Saint-hilaire-les-places Lons-le-saunier	Saint-hilaire-les-places	Lons-le-saunier	
je partirais de Corcy pour aller à Sainte-colombe-sur-seine	Corcy	Sainte-colombe-sur-seine	
Comment aller à Montrond-les-bains depuis La Bastide-puylaurent	La Bastide-puylaurent	Montrond-les-bains	
Je pars demain après-midi de Cousance pour aller à Milly-sur-thérain	Cousance	Milly-sur-thérain	demain après-midi
Je pars de Noyelles-sur-mer pour aller à Grande-synthe	Noyelles-sur-mer	Grande-synthe	
La ligne Saint-julien-puy-lavèze Dannemarie-sur-crète	Saint-julien-puy-lavèze	Dannemarie-sur-crète	
Je veux le trajet de Loures-barousse à Carpentras	Loures-barousse	Carpentras	
Je cherche un train Montry Scherwiller	Montry	Scherwiller	
Itiniréraire jusqu'a Bussac-forêt depuis Valenciennes	Valenciennes	Bussac-forêt	
vendredi je partirais de Trignac pour aller à Saint-hilaire-sur-helpe	Trignac	Saint-hilaire-sur-helpe	vendredi
Je partirais de Le Fauga pour aller à Muhlbach-sur-bruche	Le Fauga	Muhlbach-sur-bruche	
L'arrivée et le départ de mon voyage sont Anglefort et Longué-jumelles	Longué-jumelles	Anglefort	
Je cherche un trajet de Nuits-saint-georges à Montaigu la semaine prochaine	Nuits-saint-georges	Montaigu	la semaine prochaine
Je pars de Chauffailles pour aller à Castelsarrasin mardi après-midi	Chauffailles	Castelsarrasin	mardi après-midi
Moyeuvre-grande depuis La Jarrie	La Jarrie	Moyeuvre-grande	
Je cherche un train Viroflay Sarreguemines	Viroflay	Sarreguemines	
J'irai bien à la gare de Saint-saturnin-lès-avignon depuis la gare de Buno-bonnevaux	Buno-bonnevaux	Saint-saturnin-lès-avignon	
Indique moi le chemin pour La Réole depuis Montauban-de-bretagne	Montauban-de-bretagne	La Réole	
Allons à Saint-pierre-sur-dives depuis Lezoux	Lezoux	Saint-pierre-sur-dives	
Je pars de Ressons-le-long pour aller à Ploemel	Ressons-le-long	Ploemel	
Trouve un train partant de Portes-lès-valence et allant à Seugy	Portes-lès-valence	Seugy	
de Saint-chamas à Courcelles-sur-nied	Saint-chamas	Courcelles-sur-nied	
Je suis actuellement à Saint-chamond et j’aimerais partir à Brioude	Saint-chamond	Brioude	
Je suis actuellement à Longroy et j'aimerais partir à Saint-brice-courcelles	Longroy	Saint-brice-courcelles	
Itiniréraire jusqu'a Choisy-le-roi depuis Saint-paul-de-fenouillet	Saint-paul-de-fenouillet	Choisy-le-roi	
Je quitte Marcq-en-baroeul pour Ribécourt-dreslincourt	Marcq-en-baroeul	Ribécourt-dreslincourt	
Je veux aller de Saint-maur à Saint-malo	Saint-maur	Saint-malo	
Je prends le train Saint-pierre-le-moûtier Nonancourt la semaine prochaine	Saint-pierre-le-moûtier	Nonancourt	la semaine prochaine
Depuis Parent à Avrigny	Parent	Avrigny	
Je cherche un trajet de Istres à Drulingen samedi après-midi	Istres	Drulingen	samedi après-midi
Je suis actuellement à Oiry et j’aimerais partir à Sarreguemines	Oiry	Sarreguemines	
le départ et l'arrivée de mon voyage sont Merignac et Vitry-la-ville	Merignac	Vitry-la-ville	
itinéraire de voyage de Ruminghem vers Corbenay	Ruminghem	Corbenay	
ils veulent aller de Autrey-lès-gray jusqu'à Pléchâtel	Autrey-lès-gray	Pléchâtel	
Je partirais de Saint-yzan-de-soudiac pour aller à Morvillars	Saint-yzan-de-soudiac	Morvillars	
Je prends le train Montoire-sur-le-loir Ballan-miré	Montoire-sur-le-loir	Ballan-miré	
Je suis actuellement à Arc-lès-gray et j'aimerais partir à Civrieux-d'azergues	Arc-lès-gray	Civrieux-d'azergues	
ils veulent aller de Champagnole jusqu'à Château-renault	Champagnole	Château-renault	
train Bretigny Le Petit-quevilly	Bretigny	Le Petit-quevilly	
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Puteaux et gare de Busigny	Puteaux	Busigny	
trajet Bruyères Niederbronn-les-bains	Bruyères	Niederbronn-les-bains	
Je souhaiterai avoir des informations sur le train Coutances Murat qui part dans une heure	Coutances	Murat	dans une heure
Hundling Avignonet-lauragais	Hundling	Avignonet-lauragais	
Je veux aller de Avricourt à Conlie dimanche matin	Avricourt	Conlie	dimanche matin
Je souhaiterai avoir des informations sur le train La Ville-dieu-du-temple Châtenois qui part vendredi	La Ville-dieu-du-temple	Châtenois	vendredi
Depuis Cluses à Saint-paterne-racan	Cluses	Saint-paterne-racan	
je veux partir de Cessieu pour Tillières-sur-avre	Cessieu	Tillières-sur-avre	
Je cherche un train Senozan L'argentière-la-bessée lundi après-midi	Senozan	L'argentière-la-bessée	lundi après-midi
Guide moi de Frasne vers Saint-aubin-des-landes	Frasne	Saint-aubin-des-landes	
Je cherche un train Barr Landrecies	Barr	Landrecies	
le départ et l'arrivée de mon voyage sont Beaucaire et Péronne	Beaucaire	Péronne	
Trouve un train partant de Bouaye et allant à Gières	Bouaye	Gières	
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Yzeure et gare de Achiet-le-grand	Yzeure	Achiet-le-grand	
La ligne Millas La Rouge	Millas	La Rouge	
Je veux trouver un trajet de Kilstett à Saint-ours	Kilstett	Saint-ours	
Je prends le train Le Relecq-kerhuon Corcy	Le Relecq-kerhuon	Corcy	
Je veux aller de Champtocé-sur-loire à Auxerre	Champtocé-sur-loire	Auxerre	
Je veux aller à Saint-priest-de-gimel depuis Saint-blaise-la-roche	Saint-blaise-la-roche	Saint-priest-de-gimel	
Je prends le train Brienne-le-château Champigny	Brienne-le-château	Champigny	
Quel est l'itinéraire entre Engenville et Wimille	Engenville	Wimille	
je vais à Rouessé-vassé depuis Druye	Druye	Rouessé-vassé	
Je prends le train La Suze-sur-sarthe Belleville-sur-vie	La Suze-sur-sarthe	Belleville-sur-vie	
je veux partir de Santes pour La Trinite	Santes	La Trinite	
Je souhaiterai avoir des informations sur le train Bolbec Boën qui part dimanche matin	Bolbec	Boën	dimanche matin
Je suis actuellement à Velars-sur-ouche et j’aimerais partir à Merrey jeudi matin	Velars-sur-ouche	Merrey	jeudi matin
lundi soir, je vais à La Ferté-saint-aubin depuis Marbache	Marbache	La Ferté-saint-aubin	lundi soir
Je souhaiterai avoir des informations sur le train Santenay Tracy-sur-loire qui part bientôt	Santenay	Tracy-sur-loire	bientôt
Ma provenance et ma destination sont Beaugency et Saint-priest-de-gimel	Beaugency	Saint-priest-de-gimel	
Le train Nogent-le-rotrou Tourville-la-rivière	Nogent-le-rotrou	Tourville-la-rivière	
Je quitte La Coquille pour Arbois	La Coquille	Arbois	
je viens de Égly et je veux aller à Gan	Égly	Gan	
Je suis à Saint-cergues et je veux aller à Crest	Saint-cergues	Crest	
dans une heure Isles-les-meldeuses Saint-sulpice-et-cameyrac	Isles-les-meldeuses	Saint-sulpice-et-cameyrac	dans une heure
je viens de Saint-hilaire-de-villefranche et je veux aller à Luneville	Saint-hilaire-de-villefranche	Luneville	
Je veux aller de Montaigu à Fourmies	Montaigu	Fourmies	
Je veux le trajet de Henin-beaumont à Baume-les-dames	Henin-beaumont	Baume-les-dames	
Depuis Levallois-perret à Joeuf	Levallois-perret	Joeuf	
Je pars vendredi après-midi de Vieux-manoir pour aller à Biars-sur-cère	Vieux-manoir	Biars-sur-cère	vendredi après-midi
Je veux le trajet de Saint-sébastien à Castres	Saint-sébastien	Castres	
Quel trajet pour Le Monastier-pin-moriès Vern-sur-seiche	Le Monastier-pin-moriès	Vern-sur-seiche	
je partirais de Saint-cyr-en-val pour aller à Corbeil-essonnes	Saint-cyr-en-val	Corbeil-essonnes	
jeudi, je voudrais aller de Fontainebleau à Varetz	Fontainebleau	Varetz	jeudi
Guide moi de Marsac-sur-l'isle vers La Perche	Marsac-sur-l'isle	La Perche	
Comment aller de Arc-lès-gray à Foix mercredi après-midi	Arc-lès-gray	Foix	mercredi après-midi
Je me rends à Avenay-val-d'or en partant de Tournan-en-brie	Tournan-en-brie	Avenay-val-d'or	
Je veux aller de Perigueux à Voiron	Perigueux	Voiron	
Ma provenance et ma destination sont Wizernes et Montierchaume	Wizernes	Montierchaume	
Le train Gauriaguet Muizon	Gauriaguet	Muizon	
je veux partir de Breuillet pour Saint-martin-le-beau	Breuillet	Saint-martin-le-beau	
Je cherche un trajet de Saint-macaire à La Douze	Saint-macaire	La Douze	
mercredi soir je partirais de Amifontaine pour aller à La Courneuve	Amifontaine	La Courneuve	mercredi soir
Indique moi le chemin pour Souvigny depuis Laissac	Laissac	Souvigny	
train Lipsheim Seurre	Lipsheim	Seurre	
Je veux aller de Le Chambon-feugerolles à La Ville-dieu-du-temple demain après-midi	Le Chambon-feugerolles	La Ville-dieu-du-temple	demain après-midi
trajet Vertou Leyment	Vertou	Leyment	
Je prends le train Rai Laizy	Rai	Laizy	
La ligne Gorges Saint-geniès-de-malgoirès	Gorges	Saint-geniès-de-malgoirès	
Je veux aller à Chalons-en-champagne depuis Montigny-le-bretonneux	Montigny-le-bretonneux	Chalons-en-champagne	
Je cherche le train le plus rapide pour faire La Tour-de-salvagny Veynes	La Tour-de-salvagny	Veynes	
Je me rends à Avion en partant de Beauvoir-sur-niort	Beauvoir-sur-niort	Avion	
La ligne Cassis Écouflant	Cassis	Écouflant	
Je quitte Plouëc-du-trieux pour Martigné-ferchaud	Plouëc-du-trieux	Martigné-ferchaud	
Quel est l'itinéraire entre Trappes et Walbourg	Trappes	Walbourg	
Quel est l'itinéraire entre Monnerville et Esternay	Monnerville	Esternay	
Je pars de Aime pour aller à Foëcy	Aime	Foëcy	
Je pars de Monsempron-libos pour aller à Salindres	Monsempron-libos	Salindres	
le mois prochain je partirais de Bandol pour aller à Cavignac	Bandol	Cavignac	le mois prochain
arrivée Clamecy et départ Yzeure	Yzeure	Clamecy	
Le train Iteuil Saint-priest-de-gimel	Iteuil	Saint-priest-de-gimel	
Je voudrais aller de La Chapelle-de-guinchay à Creteil vendredi soir	La Chapelle-de-guinchay	Creteil	vendredi soir
Breil-sur-roya vendredi matin depuis Thiviers	Thiviers	Breil-sur-roya	vendredi matin
j'aimerais me rendre à Saint-ouen-du-breuil en quittant Vernaison	Vernaison	Saint-ouen-du-breuil	
Je pars samedi matin de Vaulry pour aller à Saint-béron	Vaulry	Saint-béron	samedi matin
de Verdun-sur-le-doubs à La Perche	Verdun-sur-le-doubs	La Perche	
Je veux aller à Nançois-sur-ornain depuis Mamirolle	Mamirolle	Nançois-sur-ornain	
Le train Kintzheim Saint-genouph	Kintzheim	Saint-genouph	
Baudemont Vallon-en-sully samedi soir	Baudemont	Vallon-en-sully	samedi soir
Quel trajet pour Viarmes Trilport	Viarmes	Trilport	
Je cherche un trajet de Froncles à Us	Froncles	Us	
Le train Stenay Sallèles-d'aude	Stenay	Sallèles-d'aude	
itinéraire de voyage de Poigny vers Port-saint-père	Poigny	Port-saint-père	
samedi Grigny Engenville	Grigny	Engenville	samedi
arrivée Seugy et départ Ribécourt-dreslincourt	Ribécourt-dreslincourt	Seugy	
Quel trajet pour Chasseneuil-sur-bonnieure Revin	Chasseneuil-sur-bonnieure	Revin	
Je pars de Neuves-maisons pour aller à Étrépagny	Neuves-maisons	Étrépagny	
Je veux me rendre à Le Grand-quevilly en partant de Saint-mathurin-sur-loire	Saint-mathurin-sur-loire	Le Grand-quevilly	
Le train Bazeilles Cubzac-les-ponts	Bazeilles	Cubzac-les-ponts	
train Buno-bonnevaux La Ferté-imbault	Buno-bonnevaux	La Ferté-imbault	
Je prends le train Coueron Varangéville	Coueron	Varangéville	
Ma provenance et ma destination sont Sérézin-du-rhône et Chars	Sérézin-du-rhône	Chars	
Emmène moi de Damblain à Langon	Damblain	Langon	
Manosque bientôt depuis Saint-julien	Saint-julien	Manosque	bientôt
Je prends le train Saint-prest Saint-nazaire	Saint-prest	Saint-nazaire	
Muhlbach-sur-munster Moûtiers	Muhlbach-sur-munster	Moûtiers	
itinéraire de voyage de Rully vers Quincieux	Rully	Quincieux	
Donne moi l'itinéraire pour aller à La Garde en partant de Pontarlier	Pontarlier	La Garde	
Je pars de Jeumont pour aller à Beuvrages mardi après-midi	Jeumont	Beuvrages	mardi après-midi
Allons à Châteauneuf-sur-isère depuis Rothau	Rothau	Châteauneuf-sur-isère	
Je prends le train Narbonne Bolquère	Narbonne	Bolquère	
Je souhaiterai avoir des informations sur le train Bollene Sept-saulx	Bollene	Sept-saulx	
Je suis à Marolles-en-hurepoix et je veux aller à Bailleul-sir-berthoult	Marolles-en-hurepoix	Bailleul-sir-berthoult	
le départ et l'arrivée de mon voyage sont Chelles et Cercy-la-tour	Chelles	Cercy-la-tour	
L'arrivée et le départ de mon voyage sont Pontgibaud et Narbonne	Narbonne	Pontgibaud	
Je veux me rendre à Jaux en partant de Puybrun	Puybrun	Jaux	
J'irai bien à la gare de La Verpillière depuis la gare de Dachstein	Dachstein	La Verpillière	
Je voudrais aller de Monnerville à Saint-cyprien dans six heures	Monnerville	Saint-cyprien	dans six heures
Je cherche un trajet de Pierre-benite à Toul dimanche soir	Pierre-benite	Toul	dimanche soir
itinéraire jusqu'a Nérondes en partant de Sallaumines	Sallaumines	Nérondes	
Indique moi le chemin pour Nuits-saint-georges depuis Fumay	Fumay	Nuits-saint-georges	
Je souhaiterai avoir des informations sur le train Chamelet La Seyne-sur-mer	Chamelet	La Seyne-sur-mer	
trajet Beziers Buchères	Beziers	Buchères	
Ma destination et ma provenance sont Aurec-sur-loire et Montigny-sur-loing	Montigny-sur-loing	Aurec-sur-loire	
Itiniréraire jusqu'a Granville depuis Caudrot	Caudrot	Granville	
bientôt je partirais de Vallon-en-sully pour aller à Angerville	Vallon-en-sully	Angerville	bientôt
le départ et l'arrivée de mon voyage sont Laifour et Fors	Laifour	Fors	
Je suis à Libourne et je souhaite me rendre à Picquigny	Libourne	Picquigny	
de Ay à Riedseltz	Ay	Riedseltz	
Je cherche un trajet de Sain-bel à Fontenay-le-fleury samedi soir	Sain-bel	Fontenay-le-fleury	samedi soir
La ligne Gilly-lès-cîteaux Le Château-d'almenêches	Gilly-lès-cîteaux	Le Château-d'almenêches	
Quel trajet pour Ancerville Saint-priest-taurion	Ancerville	Saint-priest-taurion	
Comment aller à Preignac depuis Lacq	Lacq	Preignac	
Je cherche un train Breny Bordeaux aujourd'hui	Breny	Bordeaux	aujourd'hui
train Selommes Concarneau	Selommes	Concarneau	
Comment aller de Theillay à Liverdun dans quatre heures	Theillay	Liverdun	dans quatre heures
train Saillat-sur-vienne Belvès	Saillat-sur-vienne	Belvès	
jeudi matin je partirais de Sainte-colombe-sur-seine pour aller à Espéraza	Sainte-colombe-sur-seine	Espéraza	jeudi matin
Comment aller de Le Lardin-saint-lazare à Lumes dimanche matin	Le Lardin-saint-lazare	Lumes	dimanche matin
J'irai bien à la gare de Fondamente depuis la gare de Lalinde	Lalinde	Fondamente	
Je prends le train Orval Port-de-bouc	Orval	Port-de-bouc	
Je pars mardi de Montreuil pour aller à Gourdan-polignan	Montreuil	Gourdan-polignan	mardi
Je veux aller de Morgny-la-pommeraye à Bollene	Morgny-la-pommeraye	Bollene	
Je pars de La Crèche pour aller à Gisors	La Crèche	Gisors	
itinéraire jusqu'a Oullins en partant de Donjeux	Donjeux	Oullins	
Je souhaiterai avoir des informations sur le train Sainte-eulalie Trémolat	Sainte-eulalie	Trémolat	
Je suis à Avranches et je veux aller à Nimes	Avranches	Nimes	
Je prends le train Pringy Miniac-morvan	Pringy	Miniac-morvan	
je viens de Neufchâteau et je veux aller à Saint-juéry	Neufchâteau	Saint-juéry	
Saintes Virville	Saintes	Virville	
train Aubusson Montescourt-lizerolles	Aubusson	Montescourt-lizerolles	
j'aimerais partir de Marolles-en-hurepoix pour me rendre à Rognac	Marolles-en-hurepoix	Rognac	
Itiniréraire jusqu'a Vic-la-gardiole depuis Brienne-le-château	Brienne-le-château	Vic-la-gardiole	
J'aimerais me rendre sur Le Cheylas en partant de Longueil-annel	Longueil-annel	Le Cheylas	
lundi je partirais de Courtenay pour aller à Aubusson	Courtenay	Aubusson	lundi
je vais à Crouy depuis Le Teich	Le Teich	Crouy	
Sorgues Ronchin samedi	Sorgues	Ronchin	samedi
Je cherche un train Muret Avion mardi soir	Muret	Avion	mardi soir
je partirais de Eygliers pour aller à Chenevières	Eygliers	Chenevières	
Quel est l'itinéraire entre Gannat et Bourth	Gannat	Bourth	
itinéraire de voyage de Saint-fargeau-ponthierry vers Pleyber-christ	Saint-fargeau-ponthierry	Pleyber-christ	
J'aimerais me rendre sur Neuilly-sur-marne en partant de Tréon	Tréon	Neuilly-sur-marne	
Épernon maintenant depuis Château-l'évêque	Château-l'évêque	Épernon	maintenant
J'irai bien à la gare de Givet depuis la gare de Corbehem	Corbehem	Givet	
Je pars de Lipsheim pour aller à Saint-hilaire-de-riez dans cinq heures	Lipsheim	Saint-hilaire-de-riez	dans cinq heures
le départ et l'arrivée de mon voyage sont Crepy-en-valois et Fontenay-le-fleury	Crepy-en-valois	Fontenay-le-fleury	
ils veulent aller de Montescourt-lizerolles jusqu'à Landry	Montescourt-lizerolles	Landry	
Je veux me rendre à Mirecourt en partant de Le Theil-de-bretagne	Le Theil-de-bretagne	Mirecourt	
Ma destination et ma provenance sont Saint-denis-de-pile et Gambsheim	Gambsheim	Saint-denis-de-pile	
Comment me rendre à Conlie depuis Carhaix-plouguer	Carhaix-plouguer	Conlie	
Lescar Tréon	Lescar	Tréon	
Je suis à Rosny-sur-seine et je souhaite me rendre à Ballan-miré	Rosny-sur-seine	Ballan-miré	
le départ et l'arrivée de mon voyage sont Groslay et Caffiers	Groslay	Caffiers	
Depuis Laluque à Dercy	Laluque	Dercy	
Trouve le chemin pour Audes depuis Durtol.	Durtol	Audes	
Je suis à Salbris et je souhaite me rendre à Saint-claude	Salbris	Saint-claude	
trajet Langeac Cazères	Langeac	Cazères	
Je pars jeudi de Dives-sur-mer pour aller à Fréteval	Dives-sur-mer	Fréteval	jeudi
Comment aller de Le Cellier à Vernaison	Le Cellier	Vernaison	
vendredi après-midi Camiers Amboise	Camiers	Amboise	vendredi après-midi
j'aimerais partir de Mortagne-du-nord pour me rendre à Habsheim	Mortagne-du-nord	Habsheim	
je partirais de Lavaveix-les-mines pour aller à Gondrecourt-le-château	Lavaveix-les-mines	Gondrecourt-le-château	
Je prends le train Vallon-en-sully Thiers	Vallon-en-sully	Thiers	
itinéraire jusqu'a Montbré en partant de Cugand	Cugand	Montbré	
Je cherche un trajet de Oissel à Le Breuil-sur-couze dans cinq heures	Oissel	Le Breuil-sur-couze	dans cinq heures
Trouve un train partant de Valence et allant à Anchamps	Valence	Anchamps	
Je pars de Verneuil-sur-avre pour aller à Mundolsheim	Verneuil-sur-avre	Mundolsheim	
Mailly-la-ville dimanche matin depuis Chépy	Chépy	Mailly-la-ville	dimanche matin
Je veux le trajet de Lumes à Veigné	Lumes	Veigné	
Coursan vendredi soir depuis Oiry	Oiry	Coursan	vendredi soir
Port-saint-louis-du-rhone Fontan mardi	Port-saint-louis-du-rhone	Fontan	mardi
Je cherche un train Thenissey Pérols-sur-vézère	Thenissey	Pérols-sur-vézère	
vendredi soir Chissay-en-touraine Wallers	Chissay-en-touraine	Wallers	vendredi soir
Je pars de Mézin pour aller à Saint-laurent-du-var	Mézin	Saint-laurent-du-var	
Comment aller de Oderen à Tendu	Oderen	Tendu	
itinéraire de voyage de Saint-éloy-les-mines vers Val-de-vesle	Saint-éloy-les-mines	Val-de-vesle	
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Mourioux-vieilleville et gare de Ales	Mourioux-vieilleville	Ales	
Je suis à La Roche-sur-foron et je souhaite me rendre à Origny-en-thiérache	La Roche-sur-foron	Origny-en-thiérache	
Emmène moi de Meroux à Saint-thibéry	Meroux	Saint-thibéry	
samedi après-midi Beziers Les Églisottes-et-chalaures	Beziers	Les Églisottes-et-chalaures	samedi après-midi
de Ferrière-la-grande à Wambrechies	Ferrière-la-grande	Wambrechies	
Je pars de Chateaudun pour aller à Lunel-viel	Chateaudun	Lunel-viel	
L'arrivée et le départ de mon voyage sont Pomas et Morhange	Morhange	Pomas	
Trouve un train partant de Nantouillet et allant à Aubiet	Nantouillet	Aubiet	
itinéraire de voyage de Roscoff vers Saint-macaire	Roscoff	Saint-macaire	
Je cherche un train Champagné Exideuil	Champagné	Exideuil	
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Gerzat et gare de Espéraza	Gerzat	Espéraza	
Quel est l'itinéraire entre Bouchemaine et Éveux	Bouchemaine	Éveux	
Je veux aller de Dangé-saint-romain à Comines	Dangé-saint-romain	Comines	
Comment aller de Chessy à Le Teich	Chessy	Le Teich	
Je cherche le train le plus rapide pour faire Chateaudun Baule samedi soir	Chateaudun	Baule	samedi soir
Je voudrais aller de La Ménitré à Margny-lès-compiègne dans deux heures	La Ménitré	Margny-lès-compiègne	dans deux heures
Emmène moi de Croix à Ormoy-villers	Croix	Ormoy-villers	
Je pars de Rethel pour aller à Annemasse	Rethel	Annemasse	
Comment me rendre à Lardy depuis Le Thou	Le Thou	Lardy	
je veux partir de Loudéac pour Vaulry	Loudéac	Vaulry	
Je me rends à Migny en partant de Yutz	Yutz	Migny	
